treeID,mean475,mean560,mean668,mean717,mean842,median475,median560,median668,median717,median842,mean_bright475,mean_bright560,mean_bright668,mean_bright717,mean_bright842,median_bright475,median_bright560,median_bright668,median_bright717,median_bright842,mean_dark475,mean_dark560,mean_dark668,mean_dark717,mean_dark842,median_dark475,median_dark560,median_dark668,median_dark717,median_dark842,mean_6max475,mean_6max560,mean_6max668,mean_6max717,mean_6max842,median_6max475,median_6max560,median_6max668,median_6max717,median_6max842,meanNormalized475,meanNormalized560,meanNormalized668,meanNormalized717,meanNormalized842,continuumRemovedMean475,continuumRemovedMean560,continuumRemovedMean668,continuumRemovedMean717,continuumRemovedMean842
100,0.026119,0.062314,0.040751,0.134969,0.299539,0.026154,0.061737,0.039093,0.132538,0.299652,0.029217,0.072814,0.050606,0.161813,0.350812,0.028381,0.071533,0.047424,0.159286,0.348846,0.022928,0.052445,0.033493,0.110550,0.247762,0.023422,0.052994,0.034088,0.111725,0.253143,0.040070,0.093150,0.083867,0.208959,0.443563,0.039764,0.092865,0.082916,0.205811,0.442352,0.077300,0.184423,0.120607,0.399452,0.886513,1.000000,0.659588,0.250271,0.583816,1.000000
101,0.024904,0.068678,0.035370,0.151883,0.347628,0.024689,0.069702,0.035187,0.154175,0.349182,0.028083,0.077895,0.041310,0.170715,0.393949,0.027374,0.077469,0.039749,0.170105,0.388489,0.022012,0.058479,0.029823,0.129924,0.298665,0.022644,0.060242,0.030212,0.132233,0.305954,0.037898,0.092773,0.059194,0.200139,0.486979,0.036911,0.092346,0.059174,0.199539,0.485840,0.064195,0.177030,0.091172,0.391507,0.896074,1.000000,0.650452,0.189888,0.568964,1.000000
102,0.020688,0.047920,0.029243,0.106686,0.249666,0.020569,0.049469,0.029419,0.109924,0.255066,0.026998,0.062891,0.039626,0.137653,0.297178,0.025955,0.061569,0.037521,0.135178,0.293976,0.014562,0.031570,0.018619,0.073305,0.195342,0.014130,0.031219,0.017700,0.073395,0.201324,0.045848,0.088949,0.066040,0.188176,0.375504,0.046310,0.088623,0.066269,0.186127,0.376740,0.074413,0.172364,0.105182,0.383737,0.898018,1.000000,0.614896,0.216329,0.554441,1.000000
103,0.023644,0.057764,0.035255,0.123291,0.268748,0.023376,0.057709,0.033447,0.124359,0.271179,0.028000,0.069160,0.045782,0.146582,0.308769,0.026825,0.067764,0.042542,0.142609,0.305115,0.019577,0.046404,0.027023,0.099461,0.224465,0.020264,0.048096,0.027847,0.103058,0.230652,0.043325,0.089635,0.088038,0.190755,0.379979,0.042999,0.087708,0.084885,0.189041,0.379166,0.077714,0.189859,0.115878,0.405235,0.883329,1.000000,0.680212,0.241150,0.594251,1.000000
104,0.022782,0.046257,0.032629,0.104662,0.228663,0.022308,0.045868,0.030884,0.099518,0.223541,0.027534,0.057151,0.042185,0.134307,0.279098,0.026367,0.055710,0.039551,0.130219,0.276581,0.018706,0.035815,0.024853,0.080383,0.184840,0.018753,0.036011,0.025070,0.080353,0.185425,0.044022,0.079407,0.072327,0.179601,0.371251,0.044113,0.079407,0.071732,0.180176,0.373291,0.088037,0.178754,0.126089,0.404452,0.883638,1.000000,0.622974,0.259530,0.590668,1.000000
105,0.027433,0.061384,0.038371,0.130895,0.277604,0.027039,0.063141,0.037811,0.132324,0.275085,0.033352,0.070955,0.047898,0.151071,0.317491,0.032166,0.069946,0.046783,0.148148,0.311951,0.022357,0.049925,0.029240,0.109145,0.240116,0.023529,0.052399,0.030762,0.113708,0.246429,0.049886,0.088740,0.075246,0.193934,0.400218,0.049515,0.087570,0.075211,0.192078,0.393234,0.086669,0.193928,0.121225,0.413531,0.877027,1.000000,0.682223,0.251584,0.608637,1.000000
106,0.025607,0.062877,0.037276,0.137624,0.313403,0.025757,0.064667,0.036652,0.143066,0.320374,0.028973,0.073581,0.045026,0.161850,0.381656,0.028198,0.072052,0.043701,0.159470,0.377014,0.022142,0.049979,0.030585,0.107847,0.238861,0.023148,0.052490,0.032013,0.112610,0.245239,0.038803,0.096369,0.063131,0.210337,0.497553,0.038193,0.095917,0.062454,0.210266,0.493896,0.072967,0.179167,0.106216,0.392155,0.893033,1.000000,0.644524,0.219908,0.569979,1.000000
107,0.027467,0.057669,0.040861,0.128053,0.288839,0.027069,0.056030,0.038879,0.123779,0.285065,0.031848,0.068027,0.051083,0.155132,0.342159,0.030426,0.066895,0.048950,0.149872,0.331116,0.023586,0.049073,0.032761,0.107432,0.241897,0.023926,0.050201,0.032990,0.108749,0.246674,0.055135,0.084859,0.075577,0.205785,0.470179,0.054596,0.084671,0.074768,0.206497,0.472382,0.084535,0.177484,0.125755,0.394101,0.888945,1.000000,0.621362,0.258363,0.572953,1.000000
108,0.024383,0.063673,0.038783,0.141448,0.308329,0.024200,0.064362,0.036102,0.141663,0.310608,0.028808,0.074696,0.051861,0.166244,0.349105,0.027893,0.073486,0.048370,0.162125,0.345901,0.020223,0.051791,0.028956,0.116408,0.265508,0.020554,0.052460,0.028961,0.117157,0.268372,0.042241,0.099213,0.083435,0.219279,0.423025,0.040970,0.098190,0.081421,0.220093,0.418869,0.070029,0.182876,0.111388,0.406253,0.885553,1.000000,0.667649,0.233132,0.595966,1.000000
109,0.021513,0.051154,0.030227,0.113784,0.283943,0.020538,0.048828,0.027679,0.110016,0.277832,0.025767,0.061919,0.040016,0.136511,0.332105,0.024673,0.059830,0.036453,0.131989,0.321747,0.018379,0.043119,0.024747,0.096706,0.244499,0.018341,0.043457,0.025085,0.097336,0.245819,0.036494,0.087234,0.069707,0.189763,0.461589,0.036041,0.087311,0.068497,0.188614,0.460327,0.068873,0.163771,0.096771,0.364281,0.909049,1.000000,0.587169,0.197912,0.521142,1.000000
110,0.026865,0.057433,0.034354,0.119962,0.257138,0.026093,0.058807,0.033936,0.123169,0.261871,0.034740,0.070473,0.044720,0.144795,0.305123,0.032654,0.069748,0.042480,0.142410,0.296616,0.020112,0.042620,0.024800,0.092121,0.203341,0.021408,0.046112,0.026367,0.100891,0.221558,0.059860,0.098495,0.071630,0.189524,0.420425,0.060287,0.098267,0.071533,0.189163,0.414810,0.091764,0.196173,0.117343,0.409756,0.878309,1.000000,0.680212,0.241927,0.601103,1.000000
111,0.024242,0.054489,0.033835,0.119464,0.281632,0.023560,0.054169,0.031982,0.117889,0.278992,0.029114,0.063258,0.043012,0.138465,0.323138,0.027969,0.062500,0.040771,0.134430,0.316544,0.020252,0.046248,0.027254,0.102954,0.244366,0.020538,0.046539,0.027466,0.104065,0.246765,0.045507,0.079870,0.069341,0.185150,0.407527,0.046310,0.079819,0.066544,0.180817,0.407211,0.077324,0.173803,0.107922,0.381051,0.898313,1.000000,0.615076,0.221234,0.549805,1.000000
112,0.030167,0.072916,0.046319,0.153402,0.288956,0.030121,0.073792,0.044800,0.151855,0.288971,0.035883,0.085946,0.058976,0.185294,0.337202,0.034912,0.084229,0.056122,0.181976,0.335602,0.024579,0.058778,0.035607,0.123428,0.240553,0.026306,0.062881,0.038254,0.127975,0.244400,0.051112,0.110647,0.086909,0.242706,0.419037,0.049286,0.110672,0.087006,0.240845,0.420486,0.088803,0.214644,0.136351,0.451573,0.850607,1.000000,0.768634,0.290292,0.684040,1.000000
