treeID,ARVI,ARVI2,BNDVI,BWDRVI,CI,CIG,CIVE,CRI1,CVI,DATT1,DATT6,ExG,EXGR,ExR,EVI,GLI,GBNDVI,GNDVI1,IF,LCI,LogR,MGRVI,mSR,MSR1,MTVI1,NBlue,NDRE,NDVI,NGreen,NRed,OSAVI,RDVI1,RGBVI,SAVI,TCI
100,0.690724,0.707262,0.751249,0.063357,0.331694,6.650919,18.760129,22.586905,3.168126,0.637488,37.577284,0.057758,0.026824,0.030933,0.752848,0.300328,0.538571,0.653321,-2.819276,0.483590,2.006674,0.401415,25.722122,2.234158,0.406292,0.204954,0.379495,0.758343,0.482820,0.312227,0.593704,0.440819,0.562531,0.457100,2.152819
101,0.766143,0.772070,0.774204,0.163526,0.285612,9.090440,18.751681,26.169220,2.630706,0.625885,34.731400,0.077082,0.052469,0.024614,0.822108,0.388632,0.574587,0.669887,-2.696805,0.509811,2.292483,0.575302,36.673149,2.709676,0.501613,0.193986,0.391215,0.813735,0.532478,0.273536,0.662384,0.502388,0.679593,0.526556,2.133405
102,0.749832,0.753065,0.774818,0.109961,0.261572,8.463310,18.765643,30.671172,3.339868,0.656497,64.939165,0.045910,0.025658,0.020251,0.611308,0.314928,0.579531,0.687627,-3.073543,0.525392,2.211998,0.466188,47.085475,2.579828,0.346546,0.215536,0.414161,0.797491,0.490234,0.294231,0.575605,0.415371,0.579358,0.418907,2.025736
103,0.709432,0.720940,0.750788,0.067445,0.299894,7.214335,18.760761,26.172036,2.862344,0.625259,41.727867,0.056628,0.030915,0.025713,0.671173,0.327296,0.536297,0.648420,-2.815866,0.481969,2.070030,0.463287,35.354600,2.341571,0.371344,0.204961,0.374483,0.770034,0.497887,0.297152,0.579496,0.421963,0.596465,0.432135,2.204690
104,0.693775,0.698308,0.746049,0.002700,0.271808,6.370356,18.769408,23.154429,3.552372,0.637296,53.651917,0.037104,0.014205,0.022899,0.572389,0.249279,0.533744,0.663714,-3.428873,0.479366,1.969973,0.340567,32.032121,2.175595,0.303550,0.227666,0.377722,0.750691,0.454908,0.317426,0.532631,0.380849,0.479185,0.381361,2.147012
105,0.705068,0.708178,0.737350,0.015945,0.260189,6.813120,18.760405,22.071322,2.826419,0.613143,37.751747,0.056963,0.030676,0.026287,0.719091,0.307773,0.515810,0.638629,-3.094223,0.466512,2.016315,0.449051,43.565230,2.255976,0.380395,0.216245,0.361097,0.759127,0.486620,0.297135,0.579727,0.424411,0.568290,0.436881,2.275889
106,0.721182,0.730344,0.758096,0.087657,0.295397,7.735031,18.757902,23.522314,2.965785,0.634342,38.621644,0.062872,0.036293,0.026578,0.760999,0.327958,0.550149,0.660870,-2.873985,0.494326,2.121169,0.465997,30.607570,2.433711,0.437563,0.205931,0.384999,0.778072,0.498562,0.295507,0.612764,0.459602,0.594056,0.476803,2.145644
107,0.685668,0.697900,0.750634,0.023964,0.307737,6.360979,18.764788,19.753734,3.540127,0.648237,41.340100,0.047009,0.017271,0.029738,0.743645,0.257742,0.540209,0.664682,-3.079784,0.487243,1.968996,0.338443,25.844716,2.174114,0.383308,0.219530,0.385852,0.750342,0.459424,0.321046,0.580978,0.429053,0.494790,0.443333,2.101999
108,0.714395,0.732567,0.763961,0.121543,0.334521,7.701518,18.757394,26.605342,2.951443,0.621088,37.145424,0.064181,0.034267,0.029914,0.765189,0.342741,0.557560,0.659845,-2.573339,0.484971,2.123158,0.469116,31.690267,2.432279,0.426976,0.194118,0.374600,0.779972,0.506712,0.299170,0.614445,0.456820,0.622582,0.474762,2.187247
109,0.762380,0.766273,0.783269,0.138869,0.265752,8.826627,18.763545,27.915993,3.286139,0.670968,51.744044,0.050569,0.029764,0.020805,0.677701,0.330351,0.593014,0.695607,-2.912681,0.542861,2.264852,0.486776,39.998988,2.661665,0.397999,0.210509,0.428989,0.808780,0.498998,0.290493,0.616319,0.450938,0.601557,0.463686,1.944158
