treeID,CI,CIVE,CRI1,IF,GLI,NGBDI,MGRVI,RGBVI,ExG,ExR,EXGR,NRed,NBlue,NGreen,HUE,INT,VARIgreen
100,0.192965,-13.005667,0.001788,-7.191993,0.081855,0.031081,0.062078,0.168736,54.954866,101.947250,-46.992384,0.348453,0.280780,0.370768,1.206347,164.037142,0.051312
101,0.212559,-14.008630,0.001939,-6.467403,0.085672,0.029572,0.059071,0.177266,57.486601,105.967278,-48.480677,0.351146,0.276287,0.372568,1.256349,164.172073,0.047815
102,0.192712,-9.089344,0.002143,-7.000851,0.083734,0.033130,0.066124,0.172097,48.135402,88.998590,-40.863188,0.347813,0.280514,0.371673,1.205931,144.022567,0.054263
103,0.214148,-11.594614,0.002187,-6.248964,0.088039,0.031545,0.063000,0.181913,53.583921,96.496756,-42.912835,0.350808,0.275513,0.373679,1.273396,149.285378,0.050879
104,0.196313,-5.417566,0.002028,-7.473435,0.071763,0.019999,0.039953,0.149237,40.280677,88.097884,-47.817207,0.351770,0.282191,0.366038,1.179983,139.094969,0.033482
105,0.188425,-9.491685,0.001854,-7.499903,0.077396,0.027944,0.055810,0.159419,47.953456,94.311142,-46.357687,0.348616,0.282690,0.368694,1.249609,153.418900,0.046027
106,0.222768,-10.772283,0.002051,-6.606016,0.078862,0.019841,0.039645,0.164743,50.720733,105.378561,-54.657828,0.354954,0.275650,0.369396,1.187475,158.851904,0.031759
107,0.167669,-5.393913,0.001565,-8.534941,0.063774,0.020030,0.040037,0.131280,38.706629,88.561636,-49.855007,0.348083,0.289615,0.362303,1.216754,149.410907,0.033887
108,0.258335,-13.960358,0.002647,-5.239765,0.097899,0.028916,0.057749,0.204896,59.485190,105.344711,-45.859520,0.357055,0.264569,0.378375,1.224198,149.844382,0.045011
109,0.220758,-11.739388,0.002343,-6.018263,0.091696,0.033374,0.066623,0.189487,54.363893,95.215233,-40.851340,0.351142,0.273432,0.375426,1.276160,145.860367,0.053411
110,0.192787,-8.876755,0.001968,-7.440284,0.077248,0.026544,0.053009,0.159537,46.781382,94.348096,-47.566714,0.349550,0.281822,0.368628,1.186329,151.703808,0.043706
111,0.213239,-10.269159,0.002033,-6.646229,0.080595,0.024252,0.048454,0.167469,50.091678,99.090268,-48.998590,0.352646,0.277173,0.370181,1.228176,152.952985,0.039375
112,0.236439,-11.558489,0.001829,-6.396738,0.073112,0.010180,0.020349,0.154726,51.174894,118.574048,-67.399154,0.359286,0.274035,0.366679,1.121435,172.824636,0.016372
113,0.244868,-12.689472,0.002393,-5.549170,0.090761,0.025633,0.051214,0.189660,56.148096,104.476446,-48.328350,0.356187,0.268844,0.374968,1.212747,152.068171,0.040411
114,0.269131,-13.768903,0.002629,-5.030439,0.095159,0.023070,0.046101,0.200675,59.002821,109.183921,-50.181100,0.360034,0.262920,0.377046,1.187474,151.483310,0.035877
115,0.216939,-11.543566,0.002123,-6.448095,0.085675,0.028337,0.056608,0.177614,53.208745,98.772638,-45.563893,0.352005,0.275414,0.372581,1.251198,151.823695,0.045581
116,0.250016,-11.192331,0.002006,-6.017654,0.075511,0.008703,0.017399,0.160734,51.124118,117.550635,-66.426516,0.361471,0.270728,0.367801,1.110347,167.101081,0.013959
117,0.229992,-11.473333,0.001977,-6.271782,0.078910,0.017858,0.035691,0.165482,52.128350,108.996615,-56.868265,0.356433,0.274181,0.369386,1.177226,161.657734,0.028787
118,0.253864,-11.336968,0.002012,-5.779058,0.075797,0.007963,0.015919,0.161465,51.524683,118.645698,-67.121016,0.362126,0.269959,0.367915,1.103610,167.070522,0.012764
119,0.210003,-11.411154,0.001698,-7.262624,0.072131,0.016591,0.033163,0.150793,50.386460,112.016361,-61.629901,0.354263,0.279509,0.366228,1.181150,173.423131,0.027124
120,0.212961,-10.083430,0.001862,-6.999225,0.074808,0.018479,0.036931,0.156214,48.787024,104.490832,-55.703808,0.354142,0.278388,0.367471,1.193128,160.740480,0.030172
121,0.255862,-15.444906,0.002485,-5.262312,0.097695,0.029356,0.058628,0.204521,62.368124,109.392102,-47.023977,0.356711,0.265031,0.378257,1.230819,155.128820,0.046148
122,0.276423,-8.284185,0.002066,-5.689458,0.066382,-0.008061,-0.016119,0.145461,44.568406,126.853879,-82.285472,0.369483,0.266955,0.363561,0.995969,169.066291,-0.012633
