treeID,classes
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,1
153,1
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,2
172,2
173,0
174,0
175,2
176,0
177,1
178,0
179,1
180,1
181,0
182,0
183,2
184,0
185,0
186,0
187,0
188,0
189,2
190,2
191,2
192,2
193,2
194,0
195,1
196,0
197,0
198,1
199,2
200,2
201,2
202,0
203,2
204,2
205,2
206,0
207,0
208,2
209,0
210,2
211,0
212,0
213,2
214,1
215,0
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,2
226,2
227,0
228,0
229,0
230,0
231,2
232,2
233,2
234,2
235,2
236,0
237,2
238,0
239,2
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,1
250,2
251,0
252,2
253,2
254,0
255,2
256,2
257,0
258,0
259,0
260,2
261,0
262,0
263,0
264,2
265,2
266,0
267,0
268,0
269,2
270,0
271,0
272,2
273,0
274,2
275,0
276,0
277,2
278,2
279,0
280,0
281,2
282,1
283,1
284,0
285,1
286,0
287,0
288,0
289,0
290,2
291,2
292,0
293,0
294,0
295,0
296,0
297,2
298,0
299,2
300,0
301,2
302,1
303,2
304,1
305,2
306,2
307,0
308,2
309,0
310,2
311,2
312,2
313,0
314,2
315,0
316,0
317,2
318,2
319,0
320,0
321,2
322,2
323,2
324,1
325,2
326,2
327,0
328,2
329,0
330,0
331,2
332,1
333,0
334,2
335,2
336,0
337,2
338,2
339,0
340,0
341,2
342,2
343,2
344,2
345,2
346,2
347,0
348,2
349,2
350,0
351,2
352,2
353,2
354,2
355,0
356,0
357,0
358,2
359,2
360,0
361,1
362,2
363,0
364,2
365,2
366,0
367,2
368,0
369,0
370,0
371,0
372,1
373,1
374,0
375,0
376,0
377,0
378,0
379,2
380,0
381,0
382,0
383,0
384,0
385,1
386,2
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,2
396,2
397,0
398,0
399,0
400,2
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,2
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,1
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
